Date,Open,High,Low,Close,Volume
2006-05-25,3.748966684,4.283868673,3.739663824,4.279217243,395343000
2006-05-26,4.307126229,4.348057576,4.103397917,4.179679871,103044000
2006-05-30,4.183400226,4.184330423,3.986183781,4.093164444,49898000
2006-05-31,4.125722657,4.219679208,4.125722657,4.180608273,30002000
2006-06-01,4.179678186,4.474571934,4.176887151,4.419686317,62344000
2006-06-02,4.511782082,4.530387351,4.352706872,4.371312141,37253000
2006-06-05,4.376895226,4.581553703,4.372243796,4.572250843,37188000
2006-06-06,4.649463041,4.709930299,4.446665399,4.493178368,49045000
2006-06-07,4.495967881,4.502479703,4.348986117,4.428058624,25013000
2006-06-08,4.428061429,4.439224243,4.232705752,4.439224243,34439000
2006-06-09,4.539691402,4.539691402,4.435501776,4.444804192,13372000
2006-06-12,4.46527062,4.488526882,4.307125554,4.367592812,14546000
2006-06-13,4.297822402,4.404803063,4.214098888,4.232704163,16716000
2006-06-14,4.176888677,4.228053524,4.134096494,4.197354794,15971000
2006-06-15,4.223402245,4.290381337,4.198285141,4.27456665,16500000
2006-06-16,4.232703274,4.279216229,4.186189876,4.18805027,12280000
2006-06-19,4.228051986,4.228051986,4.102466073,4.124792576,11509000
2006-06-20,4.162002206,4.186189097,4.043858781,4.095023155,23792000
2006-06-21,4.095024354,4.268053433,4.09316396,4.214098454,18063000
2006-06-22,4.316428615,4.367593464,4.268054802,4.335033894,13038000
2006-06-23,4.371313601,4.458758796,4.360150346,4.367592812,11612000
2006-06-26,4.36759351,4.418757915,4.319219696,4.418757915,8565000
2006-06-27,4.418757596,4.468061603,4.395500888,4.401082516,9826000
2006-06-28,4.358291015,4.409455425,4.325731885,4.368524075,8756000
2006-06-29,4.36759178,4.473641782,4.36759178,4.465269566,14470000
2006-06-30,4.432710008,4.465269566,4.335032222,4.465269566,25964000
2006-07-03,4.455966106,4.465268962,4.354567546,4.400150299,7029000
2006-07-05,4.409452911,4.450384682,4.345264886,4.428058624,13266000
2006-07-06,4.39550015,4.404803009,4.352707975,4.353638172,8097000
2006-07-07,4.348985888,4.3582883,4.255959101,4.290379047,8380000
2006-07-10,4.297823028,4.33224299,4.290381006,4.324800968,4978000
2006-07-11,4.324799329,4.324799329,4.214097905,4.311775684,8079000
2006-07-12,4.31642679,4.31642679,4.236424082,4.237354279,7672000
2006-07-13,4.202933623,4.202933623,4.1210701,4.160141468,16625000
2006-07-14,4.15084006,4.156421686,4.083860992,4.088512421,9663000
2006-07-17,4.08479167,4.108978571,4.069907628,4.092234135,6458000
2006-07-18,4.092234013,4.102466625,4.062465486,4.083861351,12483000
2006-07-19,4.084793361,4.228054432,4.074560744,4.212239742,15840000
2006-07-20,4.223400436,4.258750584,4.195492752,4.237354279,8829000
2006-07-21,4.237356851,4.237356851,4.164796562,4.212239742,8510000
2006-07-24,4.228053545,4.235495568,4.185261361,4.186191559,5017000
2006-07-25,4.204795184,4.316426809,4.201073953,4.286658287,6900000
2006-07-26,4.292242188,4.451317492,4.260613255,4.342476845,10338000
2006-07-27,4.362941578,4.388058679,4.327591419,4.327591419,6009000
2006-07-28,4.326661041,4.353638536,4.303404336,4.307125568,4339000
2006-07-31,4.307125765,4.317358379,4.266193979,4.267124176,4616000
2006-08-01,4.271775927,4.271775927,4.15828342,4.186191559,7390000
2006-08-02,4.464339222,4.655974018,4.401081384,4.653182983,53372000
2006-08-03,4.570391219,4.673650672,4.525738195,4.650393963,21689000
2006-08-04,4.679230133,4.790861755,4.650391809,4.655973434,14216000
2006-08-07,4.697835803,4.772256891,4.674579103,4.753651619,6918000
2006-08-08,4.753652609,4.899704223,4.749001179,4.890401363,14073000
2006-08-09,4.930402882,5.069942227,4.837376061,4.916448593,15043000
2006-08-10,4.855982012,5.015057295,4.846679595,4.982498169,8725000
2006-08-11,4.976914619,5.065289989,4.95365792,4.993659496,9078000
2006-08-14,5.000172032,5.073662929,4.978776167,5.0448246,6314000
2006-08-15,5.088546202,5.109942508,5.047614873,5.069010735,8553000
2006-08-16,5.083897911,5.156458638,5.038314685,5.048547745,15344000
2006-08-17,5.042032617,5.045753405,4.948075635,4.973193169,10216000
2006-08-18,4.939706591,4.990871001,4.880169516,4.97226572,9343000
2006-08-21,4.958309951,5.167619385,4.91179699,5.047615528,12487000
2006-08-22,5.04203521,5.162969739,5.04203521,5.137852192,9761000
2006-08-23,5.16110676,5.186223853,5.073662035,5.07924366,10439000
2006-08-24,5.107151743,5.195527116,5.099709723,5.176921844,5420000
2006-08-25,5.186225709,5.19552857,5.109944207,5.116456032,8016000
2006-08-28,5.102500507,5.158316319,5.095058487,5.118314743,3748000
2006-08-29,5.139711582,5.176922127,5.13133892,5.149013996,3211000
2006-08-30,5.161107722,5.189015854,5.132269836,5.139711857,5801000
2006-08-31,5.139711378,5.225295718,5.139711378,5.200178623,7023000
2006-09-01,5.206690445,5.349020797,5.206690445,5.260645866,20559000
2006-09-05,5.293206098,5.324835023,5.232738841,5.288554668,4618000
2006-09-06,5.293206033,5.477398396,5.262507306,5.477398396,15694000
2006-09-07,5.442978651,5.662521179,5.442048453,5.592751503,26549000
2006-09-08,5.674613117,5.697869817,5.51553789,5.558330059,15176000
2006-09-11,5.558329204,5.766708389,5.544375363,5.755545139,17064000
2006-09-12,5.673682843,5.781593682,5.673682843,5.776942253,16992000
2006-09-13,5.7676416,5.795549739,5.665312791,5.707174778,12355000
2006-09-14,5.660659633,5.883922905,5.64670579,5.841130733,13010000
2006-09-15,5.84113058,6.065324487,5.84113058,6.043928623,19314000
2006-09-18,6.115559962,6.283938088,5.981601797,6.057883739,23656000
2006-09-19,6.046719119,6.153699322,5.981600446,6.031835079,17263000
2006-09-20,6.056022007,6.204864182,6.000205747,6.190910339,13476000
2006-09-21,6.282077024,6.474642046,6.233703663,6.42347765,29063000
2006-09-22,6.418826384,6.465339352,6.054162444,6.133234978,29874000
2006-09-25,6.069978794,6.111840787,5.786247704,5.990906239,35677000
2006-09-26,5.897878085,6.26347177,5.838341026,6.139746666,39969000
2006-09-27,6.232771722,6.316495665,6.088580979,6.31091404,19633000
2006-09-28,6.293237511,6.410450739,6.293237511,6.386263847,13395000
